Wall time,Step,Value
1607119064.537922,7,1763.2218017578125
1607119286.268412,20,1268.1124267578125
1607119388.268738,26,1087.07861328125
1607119660.51743,42,788.7666015625
1607119694.462048,44,768.447509765625
1607119745.735078,47,730.6438598632812
1607119882.338214,55,636.5786743164062
1607119933.188089,58,597.8341064453125
1607120188.198291,73,445.4936218261719
1607120239.309812,76,409.12176513671875
1607120579.105103,96,264.995849609375
1607120715.44985,104,215.90771484375
1607120766.389695,107,206.1813507080078
1607120783.346836,108,197.17166137695312
1607120902.290861,115,175.04293823242188
1607121123.981552,128,138.0952911376953
1607121345.322612,141,120.23753356933594
1607121533.07403,152,118.4266357421875
1607121618.379865,157,112.8050537109375
1607121669.745876,160,84.06596374511719
1607121823.219184,169,97.19979095458984
1607121840.383121,170,85.98189544677734
1607122010.694978,180,78.09070587158203
1607122095.738211,185,105.98897552490234
1607122129.670522,187,81.9466552734375
1607122146.71078,188,67.2906494140625
1607122214.674844,192,63.871299743652344
1607122350.708,200,75.44677734375
1607122486.909325,208,72.47802734375
1607122503.879638,209,58.827850341796875
1607122588.850073,214,70.89979553222656
1607122775.985498,225,69.87995910644531
1607122878.323769,231,71.89302825927734
1607122963.202357,236,70.81297302246094
1607123218.513317,251,76.19601440429688
1607123320.79865,257,53.537681579589844
1607123405.713627,262,49.327571868896484
1607123524.974764,269,69.49503326416016
1607123592.895426,273,53.52446746826172
1607123626.901256,275,57.964324951171875
1607123950.05311,294,48.598655700683594
1607124035.182143,299,80.54403686523438
1607124052.153504,300,67.03553771972656
1607124137.439017,305,52.8892936706543
1607124222.72875,310,45.935157775878906
1607124256.780233,312,74.86741638183594
1607124392.941984,320,38.33146286010742
1607124410.003921,321,33.806095123291016
1607124597.305696,332,60.1489143371582
1607124750.280077,341,54.560813903808594
1607124886.471912,349,45.83448791503906
1607125159.310171,365,76.99510192871094
1607125227.387982,369,50.79350280761719
1607125397.780619,379,37.20800018310547
1607126146.935778,423,32.73139953613281
1607126164.007998,424,40.13555908203125
1607126300.253733,432,35.2270393371582
1607126453.630217,441,38.1236572265625
1607126487.770108,443,44.79417419433594
1607126504.899602,444,30.53829002380371
1607126555.855057,447,33.59783935546875
1607126659.108899,453,41.842952728271484
1607126812.519831,462,30.939931869506836
1607126863.895816,465,49.86606979370117
1607126880.977049,466,30.66337776184082
1607127051.631311,476,38.53827667236328
1607127341.448804,493,42.772804260253906
1607127375.453148,495,37.49863052368164
1607127699.075572,514,40.395538330078125
1607127733.046576,516,34.18613052368164
1607127784.23248,519,30.254798889160156
1607127920.360776,527,28.624053955078125
1607128022.802215,533,29.550228118896484
1607128056.806976,535,28.05687713623047
1607128108.106794,538,27.015018463134766
1607128210.538562,544,22.215145111083984
1607128295.815973,549,32.42327880859375
1607128465.919599,559,41.24515914916992
1607128568.364727,565,37.78553009033203
1607128670.379009,571,43.6964111328125
1607128738.682281,575,32.210533142089844
1607128840.86799,581,34.9917106628418
1607128874.97365,583,30.72933578491211
1607128926.210195,586,27.97453498840332
1607128960.333261,588,53.66867446899414
1607128977.402245,589,35.52412033081055
1607129062.678098,594,34.88646697998047
1607129079.761702,595,29.70025062561035
1607129232.999467,604,44.12660217285156
1607129369.04152,612,29.69887351989746
1607129454.201368,617,28.37191390991211
1607129539.590043,622,25.796613693237305
1607129574.360765,624,33.89688491821289
1607129778.39305,636,32.324214935302734
1607129897.394451,643,35.8737678527832
1607129914.368744,644,36.25890350341797
1607129948.410599,646,27.636341094970703
1607129999.391132,649,21.165857315063477
1607130033.454407,651,32.20426559448242
1607130237.78631,663,35.031272888183594
1607130288.801054,666,32.2627067565918
1607130356.924191,670,30.7677001953125
1607130407.931621,673,21.125520706176758
1607130459.004816,676,29.28192901611328
1607130528.400975,680,35.40005874633789
1607130545.532629,681,24.75578498840332
1607130613.748171,685,17.037765502929688
1607130699.459474,690,33.5145263671875
1607130887.153695,701,32.99524688720703
1607131006.924338,708,28.71670913696289
1607131143.462356,716,25.343320846557617
1607131211.577428,720,32.89617919921875
1607131279.82842,724,32.02089309692383
1607131296.870524,725,28.307960510253906
1607131416.125497,732,23.173561096191406
1607131569.392727,741,31.158782958984375
1607131637.527181,745,18.417198181152344
1607131705.625712,749,25.217510223388672
1607131773.892251,753,25.913301467895508
1607131790.987498,754,26.664396286010742
1607131859.275901,758,48.306976318359375
1607132012.765552,767,33.77938461303711
1607132080.925951,771,22.953811645507812
1607132097.989972,772,20.577285766601562
1607132115.036185,773,25.43160629272461
1607132149.046377,775,22.356689453125
1607132166.105,776,30.211669921875
1607132268.266081,782,33.79521560668945
1607132336.510641,786,31.03487205505371
1607132353.693694,787,31.297710418701172
1607132387.925605,789,27.281801223754883
1607132473.273101,794,25.806659698486328
1607132490.316299,795,26.883625030517578
1607132507.306601,796,26.820056915283203
1607132575.540741,800,20.22039222717285
1607132643.745477,804,33.97087097167969
1607132729.253761,809,26.06342887878418
1607132746.275289,810,31.056608200073242
1607132763.34131,811,17.212770462036133
1607133154.989907,834,21.56407356262207
1607133223.213921,838,23.052236557006836
1607133257.557642,840,20.87415313720703
