Wall time,Step,Value
1607180683.088792,18,1.9449741840362549
1607180685.159029,24,1.5827856063842773
1607180694.499953,40,1.3564854860305786
1607180695.196223,42,1.3811068534851074
1607180696.252335,45,1.2907733917236328
1607180703.559637,56,1.5868885517120361
1607180713.30332,71,1.1193829774856567
1607180714.711546,74,1.0221974849700928
1607180725.616897,94,1.2746102809906006
1607180730.523835,106,0.9543654918670654
1607180739.763073,126,1.079793930053711
1607180755.607392,155,0.7704595923423767
1607180756.967137,158,0.9958550930023193
1607180763.666145,167,0.883405864238739
1607180772.71977,183,1.3086247444152832
1607180773.433456,185,1.1154919862747192
1607180795.284262,229,1.5673574209213257
1607180797.64911,234,1.6737821102142334
1607180806.722532,249,2.0346903800964355
1607180809.246541,255,2.1949875354766846
1607180813.499367,260,2.0459611415863037
1607180816.948245,267,2.2115120887756348
1607180820.264757,273,1.9848705530166626
1607180837.876401,308,2.0036747455596924
1607180838.713755,310,1.819366693496704
1607180843.490874,318,2.045273780822754
1607180854.999897,339,1.8680241107940674
1607180858.749138,347,1.944985032081604
1607180872.710173,367,1.9219640493392944
1607180905.087496,421,1.836609959602356
1607180905.673539,422,1.8052421808242798
1607180914.468038,439,2.102073907852173
1607180915.89736,442,1.5755348205566406
1607180917.223287,445,1.8996180295944214
1607180926.487765,460,1.695838451385498
1607180928.027442,463,1.9345273971557617
1607180928.551022,464,1.773017406463623
1607180933.834248,474,2.035443067550659
1607180944.750015,493,2.3794071674346924
1607180956.28109,514,2.129042148590088
1607180966.616122,531,1.8877383470535278
1607180969.24242,536,1.74981689453125
1607180984.991269,563,1.950621247291565
1607180990.488919,573,1.697738766670227
1607180994.039501,579,1.6624045372009277
1607180997.975819,586,1.5762670040130615
1607180998.477508,587,1.6564685106277466
1607181018.787509,620,1.9383058547973633
1607181019.75044,622,1.702451229095459
1607181026.641018,634,1.9566969871520996
1607181030.540284,641,1.7049859762191772
1607181031.252593,642,1.8951408863067627
1607181032.155684,644,1.8808197975158691
1607181034.59219,647,1.6687935590744019
1607181036.05412,649,1.8723000288009644
1607181042.431477,661,2.1398775577545166
1607181048.341722,671,2.1190528869628906
1607181075.278835,714,1.9440348148345947
1607181079.991349,722,1.8095976114273071
1607181085.200896,730,1.5499584674835205
1607181090.958979,739,1.5132228136062622
1607181099.371323,752,1.679442048072815
1607181102.834978,756,1.6232316493988037
1607181107.730657,765,1.7932578325271606
1607181110.299356,769,1.8343342542648315
1607181111.331292,771,2.1437437534332275
1607181113.737274,773,1.7477253675460815
1607181118.241736,780,1.5545682907104492
1607181121.927509,785,1.5245695114135742
1607181122.949108,787,1.8161770105361938
1607181126.2657,792,1.4459949731826782
1607181127.366765,794,1.4822399616241455
1607181130.03,798,1.8218145370483398
1607181132.533006,802,1.532341718673706
1607181136.205278,808,1.8216054439544678
1607181136.872612,809,1.54426109790802
1607181152.163261,832,1.5373053550720215
1607181154.803143,836,1.5871130228042603
1607181177.97982,869,1.500121831893921
1607181183.138217,876,1.4791837930679321
1607181186.871607,882,1.704365849494934
1607181195.926469,896,1.5309321880340576
1607181198.736936,900,1.7004023790359497
1607181203.973422,907,1.536083459854126
1607181205.94404,909,1.531193733215332
1607181212.057406,917,1.479196310043335
1607181221.487047,931,1.7572872638702393
1607181222.160766,932,1.529412031173706
1607181228.731447,942,2.127376079559326
1607181230.482573,945,1.6917076110839844
1607181237.153238,954,1.5378280878067017
1607181242.3114,962,1.3528207540512085
1607181248.747318,971,1.9091904163360596
1607181250.110634,972,1.6464124917984009
1607181253.836528,978,1.704447627067566
1607181254.599377,979,1.5176653861999512
1607181258.095682,984,1.855798363685608
1607181276.99084,1002,1.5044043064117432
1607181279.328072,1005,1.5060768127441406
1607181285.150937,1014,1.4210352897644043
1607181310.131156,1044,1.8302770853042603
1607181319.378539,1057,1.7254037857055664
1607181326.100946,1063,1.4053332805633545
1607181328.150547,1066,1.46054208278656
1607181329.097276,1068,1.3261030912399292
1607181332.228421,1072,1.591776728630066
1607181337.103806,1078,1.795777440071106
1607181340.352298,1083,1.6174461841583252
1607181351.220972,1093,1.8810181617736816
1607181355.298623,1099,1.505275011062622
1607181359.413873,1104,1.5134265422821045
1607181367.89499,1114,1.6611459255218506
1607181400.412263,1156,1.5456370115280151
1607181403.549122,1160,1.4847627878189087
1607181404.317778,1161,1.4503657817840576
1607181405.382525,1162,1.6380550861358643
1607181419.163855,1180,1.359769344329834
1607181428.282479,1193,1.274349570274353
1607181439.09481,1206,1.3080079555511475
1607181460.109278,1232,1.4067535400390625
1607181469.689984,1244,1.7070976495742798
1607181478.770857,1255,1.5485762357711792
1607181481.762585,1258,1.705045223236084
1607181483.788496,1261,1.2934730052947998
1607181500.168136,1281,1.5538402795791626
1607181505.553358,1287,1.7199671268463135
1607181510.982609,1294,1.557352066040039
1607181515.893176,1300,1.562953233718872
1607181530.989375,1316,1.5317699909210205
1607181533.028386,1319,1.3259066343307495
1607181542.442303,1330,1.2959576845169067
1607181544.767569,1333,1.6310863494873047
1607181546.950914,1336,1.2598799467086792
1607181548.38254,1337,1.373977541923523
1607181589.253466,1385,1.391934871673584
1607181591.970887,1388,1.5132914781570435
1607181594.095356,1391,1.3388346433639526
1607181595.103788,1392,1.315530776977539
1607181615.20372,1414,1.3024672269821167
1607181626.503413,1426,1.3988908529281616
1607181635.554683,1436,1.3709309101104736
1607181638.744796,1440,1.529863715171814
1607181663.008762,1465,1.7331969738006592
1607181664.354437,1466,1.5038896799087524
1607181674.386112,1477,1.4063624143600464
1607181682.127523,1485,1.3015064001083374
1607181685.879375,1489,1.5967822074890137
1607181687.364887,1491,1.5447921752929688
1607181716.080344,1523,1.462750792503357
1607181719.704851,1527,1.203533411026001
1607181742.460738,1552,1.695455551147461
1607181757.522995,1568,1.250396490097046
1607181759.334188,1569,1.227155089378357
1607181772.105103,1584,1.2190613746643066
1607181775.962223,1588,1.9944994449615479
1607181790.765043,1604,1.2172281742095947
1607181791.702891,1605,1.3544203042984009
1607181813.945722,1627,1.2995309829711914
1607181818.592339,1632,1.3502051830291748
1607181822.529781,1637,1.2205121517181396
1607181825.808153,1640,1.1826435327529907
1607181830.949512,1645,1.8307325839996338
1607181832.985004,1648,1.6475706100463867
1607181845.709698,1660,1.2281721830368042
1607181854.684201,1668,1.269655704498291
1607181861.171114,1675,1.6311988830566406
1607181867.374679,1682,1.6005933284759521
1607181876.23239,1691,1.141413927078247
1607181878.773965,1695,1.5343741178512573
1607181881.162404,1697,1.4936810731887817
1607181882.474101,1699,1.6595042943954468
1607181886.242353,1702,1.3154881000518799
1607181893.658371,1709,1.4139142036437988
1607181901.49841,1718,1.4907901287078857
1607181911.325869,1728,1.4007936716079712
1607181915.146358,1732,1.3889555931091309
1607181917.339748,1734,1.2505518198013306
1607181919.973942,1737,1.311463713645935
1607181924.578809,1742,1.3407689332962036
1607181927.159796,1745,1.416651964187622
1607181928.279512,1746,1.465907096862793
1607181947.239974,1766,1.1248667240142822
1607181956.69224,1775,1.3425605297088623
1607181962.838632,1781,1.346088171005249
1607181969.95714,1788,1.2907980680465698
1607181971.709043,1789,1.4050142765045166
1607181981.159907,1798,1.9391601085662842
1607181987.55476,1805,1.3753174543380737
1607182008.55727,1826,1.2141261100769043
1607182013.677179,1830,1.1202629804611206
1607182023.161918,1840,1.340768814086914
1607182027.069416,1844,1.579055905342102
1607182036.017374,1853,1.180942177772522
1607182050.645042,1866,1.2253813743591309
1607182053.47327,1869,1.3400228023529053
1607182059.967603,1875,1.1511353254318237
1607182062.223158,1877,1.2617110013961792
1607182100.722914,1911,1.3187720775604248
1607182106.250527,1917,1.364365816116333
1607182123.178238,1934,1.2815967798233032
1607182134.500009,1944,1.0982452630996704
1607182137.410611,1947,1.7819559574127197
1607182139.465774,1949,1.2543575763702393
1607182159.324736,1967,1.217413067817688
1607182174.370355,1981,1.356841802597046
1607182177.182121,1983,1.3514065742492676
1607182205.879823,2001,1.4450279474258423
1607182210.440702,2005,1.4345815181732178
1607182218.572817,2013,1.2870677709579468
1607182238.595512,2030,1.1464203596115112
1607182244.152688,2036,1.5813945531845093
1607182275.895472,2060,1.1833689212799072
1607182289.648431,2073,1.268846035003662
1607182293.858395,2076,1.3098161220550537
1607182293.997507,2077,1.2625043392181396
1607182296.929081,2079,1.2340935468673706
1607182298.553424,2081,1.2040162086486816
1607182303.828727,2085,1.1251707077026367
1607182308.241015,2089,1.3204299211502075
1607182315.530373,2096,1.1407824754714966
1607182332.089936,2111,1.0366077423095703
1607182373.451412,2145,1.012980341911316
1607182378.327891,2149,1.1197415590286255
1607182386.809261,2156,1.201582431793213
1607182398.37147,2165,1.1857141256332397
1607182412.248663,2177,1.171539545059204
1607182422.169223,2187,1.3012269735336304
1607182424.966821,2189,1.0996066331863403
1607182426.645484,2191,1.273952603340149
1607182433.318631,2196,1.2707774639129639
1607182436.216414,2199,1.4226775169372559
1607182446.049958,2207,1.0036208629608154
1607182452.087571,2211,1.1730116605758667
1607182476.417821,2231,1.2087900638580322
1607182483.645989,2236,1.5110483169555664
1607182485.068065,2237,1.0212219953536987
1607182487.087252,2239,1.1805435419082642
1607182490.866473,2242,1.2724323272705078
1607182496.008289,2246,1.4098634719848633
1607182497.700376,2247,1.4848026037216187
1607182505.594476,2254,1.2580338716506958
1607182508.931142,2257,1.1059086322784424
1607182515.028699,2262,1.4543006420135498
1607182539.366299,2281,1.1522765159606934
1607182553.375167,2291,1.2429944276809692
1607182559.352718,2297,1.0733155012130737
1607182569.436905,2303,1.2611125707626343
1607182574.265005,2307,1.084529995918274
1607182587.744183,2319,1.2756588459014893
1607182588.891497,2320,0.9896358251571655
1607182621.792839,2345,1.2379124164581299
1607182635.27566,2354,1.1206918954849243
1607182678.98688,2389,1.1069515943527222
1607182680.255406,2390,1.29093599319458
1607182682.047739,2392,1.1812095642089844
1607182737.352029,2436,1.078375220298767
1607182747.469379,2444,1.139652967453003
1607182755.811106,2451,1.0910528898239136
1607182760.252719,2453,1.2251474857330322
1607182761.8661,2455,1.5247855186462402
1607182768.327797,2460,1.0415223836898804
1607182799.940355,2485,1.555972695350647
1607182801.878397,2486,0.9880837202072144
1607182816.40861,2496,1.0442651510238647
1607182818.731486,2498,1.2076797485351562
